source	x	y	sd	baseline	amplitude	r2
160	12.341099	-3.86578	3.6198523	-0.60355437	1.1000196	0.54673684
161	6.7159247	-5.945006	0.72245985	-0.20047817	1.8825417	0.30018997
162	3.1054747	-4.1300125	0.11255064	-0.052424654	0.36615977	
163	9.025791	-0.65486836	2.1974027	-0.43565503	0.30007157	0.4700166
164	13.261364	0.26878783	2.9662907	-0.34040102	1.2147658	0.3114447
165	7.78319	-5.0145974	0.059329923	-0.18357112	1.3663939	
166	10.626622	-0.9154486	1.8826745	-0.37970352	0.7715157	0.5152067
167	8.46724	4.983409	0.05508841	-0.17551407	1.2963716	
168	8.497451	5.070537	0.070139945	-0.14156519	1.1102742	
169	11.294248	-0.6941451	1.6125635	-0.32174537	1.8876728	0.47432268
170	8.474782	5.078949	0.05899367	-0.17259446	1.2225176	
171	8.484519	5.0851197	0.065270275	-0.10929678	0.89658445	
172	11.236821	-0.21258283	1.4225011	-0.21640119	1.914638	0.29365718
173	8.681756	5.098688	0.13649893	-0.14315473	1.2552279	
174	8.939291	5.060752	0.12484633	-0.05192655	0.526065	
175	9.572312	2.1046057	0.50575817	-0.10397679	1.1424108	0.1166572
176	-8.939806	5.038987	0.13431773	-0.102014266	0.9630629	
177	-3.392027	5.6329207	0.46964204	-0.087582015	0.9356375	
178	8.877867	5.0955215	0.14516306	-0.09318138	0.90205085	
179	8.940415	5.046683	0.13017318	-0.14073472	1.3654575	
180	-2.6633935	5.326469	0.2942697	-0.08037079	0.7612078	
181	-2.2978585	-4.008015	0.097689696	-0.06548922	0.5301703	
182	8.477102	5.0846066	0.060119584	-0.093238644	0.72328293	
183	8.927833	5.065482	0.13204312	-0.1056302	1.0433763	
184	8.943759	5.063026	0.13186039	-0.0694666	0.71682954	
185	-2.3452704	-4.9129586	0.06811254	-0.03934289	0.34885693	
186	8.460453	-5.005677	0.06384788	-0.056447398	0.41762567	
187	0.55292374	5.1394515	0.16728976	-0.03817166	0.32719123	
188	1.493731	4.9820547	0.07559046	-0.032569986	0.2387403	
189	1.8848199	-5.146718	0.23910291	-0.024480792	0.21428858	
190	0.32564497	-4.4310045	0.08354276	-0.054669723	0.41576698	
191	4.395894	1.8330567	0.055396244	-0.026155105	0.13429259	
192	0.39835113	-5.2386646	0.30771843	-0.048243407	0.40996632	
193	-8.046417	1.5979085	0.06615563	-0.04281969	0.3409573	
194	8.922646	5.0604577	0.12800114	-0.049104016	0.47127765	
195	0.0	0.0	0.0	0.0	0.0	
196	0.0	0.0	0.0	0.0	0.0	
197	2.4011836	-0.12800603	2.3296342	-0.11630613	0.033946615	0.22555262
198	1.459079	-2.3172836	1.2456669	-0.07667305	0.043198094	0.10518992
199	0.0	0.0	0.0	0.0	0.0	
200	0.0	0.0	0.0	0.0	0.0	
201	0.0	0.0	0.0	0.0	0.0	
202	1.7060521	0.42311087	2.2154365	-0.13002329	0.038264595	0.26217645
203	1.6511455	-0.11198299	2.487867	-0.54208404	0.1470121	0.42881495
204	0.94952583	-0.53366804	1.1337153	-0.36692533	0.16289201	0.36184895
205	0.5634964	-1.0521642	0.9201351	-0.45179695	0.2461348	0.47649074
206	0.6010633	-1.103596	1.718718	-0.4773416	0.16501236	0.4539224
207	0.10426101	-1.5290723	1.364231	-0.31529757	0.13445684	0.25572187
208	-0.847926	-2.577114	0.19791138	-0.029931037	0.110230036	
209	-8.967651	-1.9991903	0.059921224	-0.032167435	0.24673589	
210	3.4928775	0.7585528	2.6837044	-0.10943605	0.030587673	0.07407904
211	0.0	0.0	0.0	0.0	0.0	
212	0.0	0.0	0.0	0.0	0.0	
213	2.3641148	0.1320003	2.096871	-0.19741584	0.062425017	0.20589662
214	1.6181484	-0.29250014	2.2444425	-0.5214156	0.151483	0.46600753
215	1.082891	-0.7551956	1.7535846	-0.4477861	0.15263386	0.40650827
216	0.51403016	-0.8943147	0.11938119	-0.17310756	0.96568525	
217	0.4042509	-0.9171651	0.49576548	-0.35699773	0.3501125	
218	0.08079257	-1.2765063	1.4485614	-0.30483297	0.119116604	0.26981115
219	-0.80972385	-1.5290174	0.10422797	-0.05660686	0.36571884	
220	-0.33519772	-5.0154324	0.25467625	-0.07017767	0.35196117	
221	0.56783694	-3.5748413	1.1547759	-0.15331809	0.107272305	0.196805
222	0.5240521	-4.090437	1.6453977	-0.2799809	0.16940749	0.36465067
223	2.2925005	-6.747006	2.292679	-0.19739601	0.27346998	0.2328124
224	1.7617577	-1.855876	1.955255	-0.10519702	0.03730896	0.20148754
225	1.4847219	-0.33792794	1.4751389	-0.19351575	0.07643401	0.2479381
226	1.2339782	-0.9982662	0.3865681	-0.09684906	0.18155383	
227	1.1608194	0.38834542	2.591014	-0.28619555	0.07493454	0.17380196
228	1.3406996	-1.2523402	1.4335535	-0.35255206	0.15022022	0.3360049
229	1.1834283	-0.8683621	0.063502446	-0.06139042	0.464512	
230	1.1097095	-0.37582934	0.097725295	-0.050476443	0.4279969	
231	-1.9750128	-4.2854543	0.078143485	-0.02393138	0.19744605	
232	-6.8837132	3.491776	0.058312647	-0.02277634	0.18280637	
233	-0.35211802	-4.600365	0.19453494	-0.08887385	0.3394414	
234	-0.33331892	-4.3985543	0.0679038	-0.13662483	1.5205331	
235	-0.020908052	-3.3234978	1.0530242	-0.36787948	0.2666748	0.5619166
236	1.9465166	-5.057082	2.3612726	-0.58832765	0.35725552	0.6247141
237	3.6695297	-1.5661858	3.068464	-0.4852858	0.1332012	0.5694728
238	2.0849044	-0.66418314	1.8482232	-0.68958336	0.24129312	0.6817496
239	1.8141317	-0.6964228	1.3693609	-0.55199856	0.24845332	0.6540214
240	1.2555215	-0.8921855	1.3990774	-0.33854297	0.14049555	0.33024126
241	1.2915787	-0.79282475	0.7344309	-0.21846601	0.17712897	0.23562014
242	-6.4012923	-1.463755	0.08368588	-0.03379311	0.3326918	
243	1.0037295	-2.32322	0.8803195	-0.25967905	0.21099819	0.3909446
244	1.152371	-2.2116003	1.3955868	-0.2702842	0.13146983	0.31127352
245	-8.101142	2.7785263	1.3677675	-0.08949132	0.06668811	0.070519865
246	-0.3354758	-4.3329854	0.06378353	-0.089617975	0.65897626	
247	-0.39739302	-4.400064	0.13815057	-0.05745997	0.30024686	
248	-0.56310683	-3.6749709	0.832271	-0.120071016	0.11068206	0.10674
249	1.2352061	-4.8647504	1.9414505	-0.3521958	0.24288091	0.39767766
250	3.0814173	-1.422271	2.6178217	-0.6024765	0.17479679	0.6010468
251	2.2216334	-0.63610643	1.95702	-0.7864369	0.2641315	0.71793544
252	2.060804	-0.6650704	1.6554031	-0.8263629	0.3186405	0.7995562
253	1.8030388	-0.7614871	1.6455505	-0.84199363	0.31998518	0.8167426
254	1.5270091	-0.38475814	1.5637138	-0.6839662	0.2595412	0.7060367
255	1.4261522	-1.0265476	1.7065912	-0.31242648	0.113292515	0.28756416
256	0.70478874	-2.5373855	1.0641228	-0.5804635	0.3863443	0.7427819
257	1.0557481	-2.473018	1.1766669	-0.5825799	0.34894127	0.74553
258	3.067466	-1.3138074	1.1318781	-0.16886708	0.10748705	0.184264
259	1.1817158	-3.270755	1.4401295	-0.23959492	0.1327181	0.2689237
260	0.2984564	-1.8809893	0.7275206	-0.08845026	0.083527856	0.11173016
261	1.4314781	-1.7484632	0.053465508	-0.028446823	0.18237548	
262	1.7803543	-5.337717	0.9927325	-0.21829076	0.4196051	0.2961446
263	2.3199248	-5.301913	1.5767355	-0.22561088	0.24012463	0.26330167
264	3.8393273	-1.5486408	2.9942389	-0.48219058	0.13489282	0.34428608
265	2.8881688	-0.8892041	2.3448858	-0.7546939	0.22819103	0.7408172
266	2.2391937	-0.5206732	2.0283968	-0.8308803	0.27015573	0.7496049
267	2.250503	-0.54543215	1.7550982	-0.8426176	0.31157938	0.80142105
268	2.506586	-0.5479103	1.9418526	-0.8998682	0.3090079	0.8172
269	2.3880825	-0.4106992	2.091824	-0.72708535	0.23175621	0.7246882
270	2.071995	-0.4754834	2.0170379	-0.5025832	0.1623594	0.5095313
271	1.8940973	-0.3487012	1.8899167	-0.6753294	0.226737	0.68247867
272	2.7270093	0.6825632	1.3485087	-0.5977455	0.3034215	0.74940294
273	3.2780101	-0.009036956	1.8167201	-0.62249506	0.2370469	0.65182054
274	3.3992934	-3.5687094	1.7064261	-0.4967545	0.26183817	0.5634587
275	2.4626493	-3.2804735	1.2061844	-0.25474805	0.16576748	0.2928053
276	1.2541115	-4.999583	0.73361015	-0.23459712	0.44799104	0.32808447
277	1.853446	-5.5609493	1.0543481	-0.32307753	0.71839786	0.39648104
278	5.6650586	4.5504932	1.5192904	-0.09055116	0.06723955	0.071505904
279	3.3166697	-1.4861751	2.7753642	-0.6335438	0.17967835	0.54141676
280	3.0494993	-0.5559192	2.2035618	-0.6619716	0.20959508	0.65532684
281	1.4756787	-0.4451021	1.8789667	-0.4535726	0.1490322	0.473202
282	2.1174996	-0.32055762	1.8595245	-0.5542872	0.19158985	0.6158688
283	3.01187	-0.015355715	1.9425669	-0.29864427	0.10490081	0.2937922
284	1.0018289	1.5377532	3.3890278	-0.08877981	0.021349031	0.021701097
